,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_tfidf__norm,param_tfidf__use_idf,param_vect__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.8914094924926759,0.036965195930865766,0.4338043212890625,0.03185319599545853,1,l1,True,"(1, 1)","{'clf__alpha': 1, 'tfidf__norm': 'l1', 'tfidf__use_idf': True, 'vect__ngram_range': (1, 1)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
1,6.9232381820678714,0.2799989133905085,0.8273740768432617,0.03259922481854222,1,l1,True,"(1, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l1', 'tfidf__use_idf': True, 'vect__ngram_range': (1, 2)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
2,5.329425954818726,0.04649039901188555,0.5600275039672852,0.015137619515366617,1,l1,True,"(2, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l1', 'tfidf__use_idf': True, 'vect__ngram_range': (2, 2)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
3,1.776055145263672,0.008850714427733114,0.40796804428100586,0.006307284166849626,1,l1,False,"(1, 1)","{'clf__alpha': 1, 'tfidf__norm': 'l1', 'tfidf__use_idf': False, 'vect__ngram_range': (1, 1)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
4,6.2189146995544435,0.059408441227875,0.7563591957092285,0.011832103229822062,1,l1,False,"(1, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l1', 'tfidf__use_idf': False, 'vect__ngram_range': (1, 2)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
5,5.065886688232422,0.04154061217748913,0.5271959781646729,0.008734723135719682,1,l1,False,"(2, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l1', 'tfidf__use_idf': False, 'vect__ngram_range': (2, 2)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
6,1.8132595539093017,0.006751566946176304,0.41674604415893557,0.004643068500460508,1,l2,True,"(1, 1)","{'clf__alpha': 1, 'tfidf__norm': 'l2', 'tfidf__use_idf': True, 'vect__ngram_range': (1, 1)}",0.9768934531450578,0.975609756097561,0.9845956354300385,0.982028241335045,0.9820051413881749,0.9802264454791754,0.0034036071164351826,12
7,6.5416394710540775,0.0371269002264914,0.7979546070098877,0.014261350489591675,1,l2,True,"(1, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l2', 'tfidf__use_idf': True, 'vect__ngram_range': (1, 2)}",0.9666238767650834,0.9576379974326059,0.9730423620025674,0.9691912708600771,0.9652956298200515,0.966358227376077,0.00509795811120971,15
8,5.319462394714355,0.036042553470305556,0.5485212326049804,0.008308213866688837,1,l2,True,"(2, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l2', 'tfidf__use_idf': True, 'vect__ngram_range': (2, 2)}",0.9358151476251605,0.9152759948652118,0.9281129653401797,0.9255455712451861,0.9434447300771208,0.9296388818305719,0.009530202932109424,20
9,1.784855318069458,0.010788253359353468,0.4111424446105957,0.007135830433023268,1,l2,False,"(1, 1)","{'clf__alpha': 1, 'tfidf__norm': 'l2', 'tfidf__use_idf': False, 'vect__ngram_range': (1, 1)}",0.9704749679075738,0.9666238767650834,0.975609756097561,0.9768934531450578,0.9691516709511568,0.9717507449732865,0.003898896887979177,14
10,6.2302796840667725,0.05354994251761517,0.7573458671569824,0.015370342005708235,1,l2,False,"(1, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l2', 'tfidf__use_idf': False, 'vect__ngram_range': (1, 2)}",0.9563543003851092,0.9460847240051348,0.9576379974326059,0.9537869062901155,0.9575835475578406,0.9542894951341612,0.004333532844293317,16
11,5.063290214538574,0.04784967239924284,0.5248396873474122,0.003610588915999909,1,l2,False,"(2, 2)","{'clf__alpha': 1, 'tfidf__norm': 'l2', 'tfidf__use_idf': False, 'vect__ngram_range': (2, 2)}",0.9332477535301669,0.9139922978177151,0.9332477535301669,0.9358151476251605,0.9370179948586118,0.9306641894723642,0.00846409818709668,19
12,1.7906002521514892,0.00891204403111452,0.41040844917297364,0.004862200623198681,0.1,l1,True,"(1, 1)","{'clf__alpha': 0.1, 'tfidf__norm': 'l1', 'tfidf__use_idf': True, 'vect__ngram_range': (1, 1)}",0.6059050064184852,0.6020539152759948,0.6007702182284981,0.5994865211810013,0.589974293059126,0.599637990832621,0.005287799388372169,26
13,6.56924352645874,0.14299287173965097,0.7949767112731934,0.0115190440908113,0.1,l1,True,"(1, 2)","{'clf__alpha': 0.1, 'tfidf__norm': 'l1', 'tfidf__use_idf': True, 'vect__ngram_range': (1, 2)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
14,5.1198317527771,0.023698450700533533,0.5363946437835694,0.007761971642640606,0.1,l1,True,"(2, 2)","{'clf__alpha': 0.1, 'tfidf__norm': 'l1', 'tfidf__use_idf': True, 'vect__ngram_range': (2, 2)}",0.5455712451861361,0.5455712451861361,0.5455712451861361,0.5442875481386393,0.5449871465295629,0.545197686045322,0.0005081962597135195,29
